Generation:45, Observation:[[1, 76], [37, 0], [2, 45], [34, 52], [1, 4], [72, 1], [33, 52], [12, 0], [3, 0], [78, 11], [36, 0], [7, 6], [3, 98], [32, 0], [4, 2], [9, 68], [71, 3], [7, 1], [12, 18], [1, 95], [0, 17], [0, 79], [22, 22], [35, 67], [12, 23]], Rewards:[7, 10, 8, 15, 10, 14, 15, 8, 6, 14, 10, 14, 7, 8, 13, 14, 15, 11, 18, 3, 6, 4, 17, 14, 18]
Generation:46, Observation:[[1, 79], [37, 0], [2, 46], [34, 55], [0, 4], [71, 1], [33, 55], [12, 0], [3, 3], [80, 11], [34, 0], [7, 4], [3, 100], [33, 0], [4, 0], [9, 70], [74, 3], [5, 1], [12, 15], [1, 97], [0, 17], [0, 78], [22, 20], [35, 70], [12, 20]], Rewards:[7, 10, 8, 15, 9, 13, 14, 7, 11, 14, 8, 15, 7, 7, 7, 13, 15, 11, 17, 4, 7, 5, 17, 15, 18]
Generation:47, Observation:[[1, 81], [37, 0], [2, 48], [34, 56], [0, 5], [74, 1], [35, 55], [10, 0], [3, 1], [83, 11], [36, 0], [7, 1], [5, 100], [31, 0], [4, 2], [9, 73], [74, 6], [5, 2], [10, 15], [4, 97], [0, 17], [0, 75], [22, 18], [35, 71], [12, 19]], Rewards:[8, 10, 7, 16, 8, 11, 15, 7, 9, 14, 10, 10, 9, 7, 11, 13, 16, 12, 17, 7, 7, 7, 17, 13, 21]
Generation:48, Observation:[[1, 83], [37, 0], [2, 47], [36, 56], [0, 5], [77, 1], [35, 56], [10, 0], [3, 0], [85, 11], [39, 0], [7, 4], [5, 100], [33, 0], [4, 0], [9, 74], [77, 6], [2, 2], [10, 16], [4, 98], [0, 17], [0, 72], [22, 16], [36, 71], [12, 16]], Rewards:[7, 10, 7, 15, 6, 13, 15, 8, 6, 14, 9, 13, 10, 7, 5, 16, 15, 10, 17, 8, 9, 6, 16, 13, 18]
Generation:49, Observation:[[1, 85], [37, 0], [2, 50], [36, 58], [0, 5], [80, 1], [35, 59], [10, 0], [3, 1], [86, 11], [36, 0], [7, 5], [4, 100], [35, 0], [4, 1], [9, 76], [78, 6], [5, 2], [10, 18], [4, 99], [0, 17], [0, 69], [22, 13], [33, 71], [12, 17]], Rewards:[7, 9, 7, 16, 7, 12, 16, 8, 9, 14, 8, 13, 7, 7, 8, 15, 16, 13, 20, 7, 7, 5, 18, 12, 19]
Generation:50, Observation:[[1, 87], [34, 0], [2, 52], [36, 59], [0, 5], [83, 1], [36, 59], [10, 3], [3, 3], [87, 11], [39, 0], [7, 6], [5, 100], [37, 0], [4, 4], [9, 78], [79, 6], [3, 2], [10, 17], [4, 100], [0, 17], [0, 66], [22, 10], [36, 71], [12, 18]], Rewards:[7, 6, 7, 15, 8, 11, 15, 12, 8, 15, 9, 15, 9, 9, 11, 15, 15, 8, 18, 8, 7, 5, 17, 13, 21]
Generation:51, Observation:[[1, 89], [36, 0], [2, 54], [36, 61], [0, 5], [84, 1], [34, 59], [7, 3], [3, 1], [89, 11], [40, 0], [7, 3], [5, 100], [40, 0], [4, 5], [9, 77], [78, 6], [0, 2], [10, 15], [4, 100], [0, 17], [0, 64], [22, 8], [39, 71], [12, 16]], Rewards:[8, 7, 8, 15, 6, 10, 14, 12, 8, 15, 9, 12, 9, 9, 12, 16, 17, 5, 19, 8, 9, 5, 17, 15, 20]
Generation:52, Observation:[[1, 91], [38, 0], [2, 55], [39, 61], [0, 5], [85, 1], [36, 59], [7, 2], [3, 2], [92, 11], [43, 0], [7, 2], [5, 100], [43, 0], [4, 2], [9, 78], [81, 6], [1, 2], [10, 16], [4, 100], [0, 17], [0, 62], [22, 6], [40, 71], [9, 16]], Rewards:[7, 7, 8, 16, 8, 11, 14, 10, 8, 15, 9, 10, 9, 9, 8, 17, 15, 7, 19, 8, 9, 5, 16, 15, 18]
Generation:53, Observation:[[1, 94], [40, 0], [2, 57], [39, 63], [0, 5], [88, 1], [37, 59], [7, 1], [5, 2], [93, 11], [46, 0], [7, 4], [5, 98], [46, 0], [4, 0], [9, 81], [84, 6], [1, 4], [10, 19], [4, 100], [0, 17], [0, 61], [22, 3], [41, 71], [9, 14]], Rewards:[7, 8, 8, 16, 9, 12, 14, 10, 11, 13, 9, 13, 10, 9, 6, 17, 16, 9, 20, 8, 8, 4, 14, 15, 18]
Generation:54, Observation:[[1, 96], [42, 0], [2, 58], [40, 63], [0, 5], [88, 4], [38, 59], [7, 0], [5, 4], [96, 11], [47, 0], [7, 6], [5, 100], [49, 0], [4, 3], [9, 84], [87, 6], [2, 4], [10, 16], [4, 100], [0, 17], [0, 60], [21, 3], [42, 71], [9, 13]], Rewards:[7, 8, 6, 16, 9, 14, 14, 7, 10, 13, 9, 15, 9, 9, 8, 17, 15, 9, 19, 8, 9, 5, 11, 14, 18]
