Generation:33, Observation:[[39, 57], [52, 55], [45, 55], [54, 43], [49, 46], [51, 54], [49, 57], [49, 48], [57, 52], [54, 59], [50, 47], [37, 50], [47, 41], [54, 52], [45, 62], [50, 56], [50, 45], [44, 38], [57, 52], [52, 41], [45, 48], [42, 51], [48, 50], [45, 62], [56, 54]], Rewards:[13, 14, 8, 11, 9, 17, 15, 8, 14, 17, 9, 8, 7, 14, 9, 16, 10, 3, 14, 13, 7, 10, 6, 9, 14]
Generation:34, Observation:[[44, 57], [51, 55], [45, 55], [54, 43], [49, 43], [51, 54], [49, 59], [49, 48], [57, 51], [54, 59], [50, 47], [40, 50], [47, 41], [51, 52], [45, 62], [52, 56], [50, 45], [44, 38], [57, 52], [53, 41], [45, 48], [42, 54], [48, 50], [45, 62], [55, 54]], Rewards:[9, 16, 9, 13, 10, 14, 12, 9, 13, 17, 10, 7, 8, 13, 10, 17, 12, 2, 12, 15, 7, 8, 7, 10, 14]
Generation:35, Observation:[[44, 57], [52, 55], [42, 55], [54, 43], [49, 42], [51, 54], [49, 59], [49, 48], [57, 48], [54, 59], [50, 47], [42, 50], [47, 41], [50, 52], [45, 62], [52, 56], [46, 45], [44, 38], [57, 52], [55, 41], [45, 48], [42, 58], [48, 49], [45, 62], [61, 54]], Rewards:[9, 14, 9, 12, 11, 15, 12, 9, 13, 17, 10, 7, 9, 12, 11, 14, 11, 3, 12, 16, 7, 8, 12, 11, 14]
Generation:36, Observation:[[44, 57], [53, 55], [42, 55], [54, 43], [49, 43], [51, 54], [49, 59], [49, 48], [57, 45], [54, 59], [50, 47], [38, 50], [47, 41], [45, 52], [45, 60], [52, 56], [45, 45], [44, 38], [57, 52], [50, 41], [45, 48], [42, 57], [48, 49], [45, 62], [62, 54]], Rewards:[8, 14, 10, 11, 10, 14, 14, 10, 12, 18, 11, 10, 9, 9, 12, 16, 7, 3, 12, 12, 7, 7, 12, 11, 14]
Generation:37, Observation:[[44, 57], [53, 55], [42, 55], [54, 43], [49, 44], [51, 54], [49, 59], [49, 48], [57, 48], [54, 59], [50, 47], [38, 45], [47, 41], [49, 52], [45, 60], [52, 56], [43, 45], [44, 38], [57, 52], [54, 41], [45, 48], [42, 61], [52, 49], [45, 62], [62, 54]], Rewards:[12, 13, 10, 12, 9, 13, 11, 10, 13, 16, 12, 4, 7, 10, 13, 14, 6, 4, 12, 14, 10, 10, 14, 12, 14]
Generation:38, Observation:[[44, 57], [55, 55], [42, 55], [54, 43], [51, 44], [51, 54], [49, 59], [49, 48], [57, 45], [54, 59], [50, 47], [38, 42], [46, 41], [51, 52], [45, 60], [52, 56], [43, 45], [44, 38], [56, 52], [55, 41], [45, 48], [42, 61], [54, 49], [45, 62], [67, 54]], Rewards:[12, 14, 10, 11, 13, 10, 11, 11, 17, 14, 11, 3, 8, 11, 12, 14, 6, 3, 13, 15, 11, 11, 13, 12, 14]
Generation:39, Observation:[[44, 57], [54, 55], [42, 55], [54, 43], [55, 44], [51, 54], [49, 59], [49, 48], [57, 43], [54, 59], [50, 47], [38, 42], [46, 41], [53, 52], [45, 60], [52, 56], [43, 45], [44, 38], [56, 52], [55, 41], [45, 48], [42, 58], [54, 49], [45, 62], [60, 54]], Rewards:[10, 10, 11, 11, 16, 11, 12, 12, 15, 14, 12, 3, 8, 10, 14, 12, 7, 3, 13, 16, 11, 10, 13, 12, 14]
Generation:40, Observation:[[44, 57], [54, 55], [42, 55], [54, 43], [55, 44], [51, 54], [49, 59], [49, 48], [57, 40], [54, 59], [50, 46], [38, 46], [46, 41], [49, 52], [45, 60], [52, 56], [43, 47], [44, 38], [56, 52], [54, 41], [45, 48], [42, 59], [54, 49], [45, 62], [62, 54]], Rewards:[10, 10, 10, 11, 15, 11, 11, 11, 14, 13, 13, 5, 9, 8, 13, 13, 8, 4, 13, 13, 11, 9, 12, 12, 14]
Generation:41, Observation:[[45, 57], [54, 55], [44, 55], [54, 44], [55, 44], [51, 54], [49, 59], [49, 48], [57, 45], [54, 59], [50, 46], [38, 47], [45, 41], [53, 52], [45, 60], [52, 56], [43, 47], [44, 38], [56, 52], [56, 41], [45, 48], [42, 59], [55, 49], [46, 62], [61, 54]], Rewards:[12, 10, 10, 11, 12, 11, 11, 13, 15, 13, 13, 6, 4, 10, 13, 12, 6, 3, 12, 15, 10, 10, 16, 15, 14]
Generation:42, Observation:[[45, 55], [52, 55], [44, 55], [54, 44], [55, 43], [51, 54], [49, 59], [49, 48], [57, 43], [54, 59], [50, 46], [40, 47], [45, 41], [54, 52], [45, 60], [52, 56], [43, 47], [44, 38], [56, 52], [55, 41], [45, 48], [42, 59], [56, 49], [46, 62], [58, 54]], Rewards:[10, 12, 9, 13, 13, 12, 10, 12, 14, 12, 13, 5, 5, 11, 14, 12, 6, 3, 11, 14, 10, 8, 16, 14, 15]
Generation:43, Observation:[[45, 55], [52, 55], [44, 55], [54, 44], [55, 45], [51, 54], [49, 59], [49, 48], [57, 43], [54, 59], [50, 46], [40, 47], [45, 41], [58, 52], [45, 60], [52, 55], [48, 47], [44, 38], [56, 52], [55, 41], [44, 48], [42, 57], [52, 49], [46, 62], [57, 54]], Rewards:[10, 13, 8, 13, 12, 11, 11, 12, 12, 14, 13, 5, 5, 14, 13, 13, 12, 2, 12, 14, 8, 12, 11, 13, 13]
Generation:44, Observation:[[45, 55], [49, 55], [44, 55], [54, 46], [55, 45], [51, 54], [49, 59], [49, 48], [57, 42], [54, 59], [50, 49], [40, 47], [45, 41], [53, 52], [45, 60], [52, 55], [51, 47], [44, 38], [56, 52], [54, 41], [44, 48], [42, 59], [53, 49], [46, 62], [54, 54]], Rewards:[11, 10, 11, 12, 14, 10, 8, 12, 18, 14, 14, 4, 5, 10, 12, 12, 13, 2, 12, 15, 7, 8, 12, 12, 10]
Generation:45, Observation:[[44, 55], [49, 55], [44, 55], [54, 46], [55, 45], [51, 54], [49, 59], [49, 48], [57, 44], [54, 59], [50, 49], [40, 45], [45, 41], [55, 52], [45, 60], [52, 55], [50, 47], [44, 38], [56, 52], [50, 41], [44, 48], [42, 59], [53, 50], [46, 62], [53, 54]], Rewards:[11, 10, 11, 15, 14, 12, 7, 12, 14, 15, 13, 3, 5, 13, 13, 14, 13, 2, 12, 10, 6, 9, 14, 11, 12]
Generation:46, Observation:[[46, 55], [49, 55], [44, 55], [54, 46], [55, 45], [51, 54], [49, 59], [50, 48], [57, 48], [54, 59], [50, 49], [40, 48], [45, 41], [53, 52], [45, 60], [52, 55], [48, 47], [44, 38], [56, 52], [50, 41], [44, 48], [42, 55], [50, 50], [46, 62], [52, 54]], Rewards:[10, 12, 10, 13, 13, 14, 9, 11, 12, 17, 13, 4, 5, 14, 13, 13, 9, 2, 12, 10, 4, 11, 13, 10, 12]
Generation:47, Observation:[[49, 55], [49, 54], [44, 55], [54, 46], [55, 45], [51, 54], [49, 59], [50, 48], [57, 46], [54, 55], [50, 49], [40, 48], [45, 41], [50, 52], [45, 60], [52, 55], [48, 47], [44, 38], [56, 52], [51, 41], [44, 48], [42, 53], [50, 50], [46, 62], [52, 52]], Rewards:[11, 11, 12, 13, 13, 13, 9, 12, 13, 14, 13, 5, 5, 11, 10, 16, 8, 2, 12, 13, 6, 11, 13, 10, 13]
Generation:48, Observation:[[48, 55], [49, 54], [44, 55], [54, 46], [55, 45], [51, 54], [49, 59], [50, 48], [57, 45], [54, 54], [50, 49], [40, 45], [45, 41], [47, 52], [46, 60], [52, 55], [48, 47], [44, 38], [56, 52], [48, 41], [44, 48], [42, 53], [54, 50], [46, 62], [54, 52]], Rewards:[14, 13, 13, 13, 13, 15, 12, 15, 14, 11, 14, 2, 4, 11, 11, 16, 10, 2, 11, 7, 6, 11, 13, 9, 11]
Generation:49, Observation:[[49, 55], [49, 54], [44, 55], [54, 46], [55, 45], [51, 54], [49, 59], [50, 48], [57, 43], [54, 53], [50, 49], [40, 43], [45, 41], [48, 52], [46, 60], [52, 55], [47, 47], [44, 38], [56, 52], [48, 41], [44, 48], [42, 51], [55, 50], [48, 62], [56, 52]], Rewards:[15, 14, 13, 13, 13, 17, 12, 15, 14, 14, 15, 2, 4, 11, 11, 17, 8, 2, 13, 6, 6, 8, 14, 8, 13]
Generation:50, Observation:[[55, 55], [49, 54], [44, 55], [54, 46], [55, 45], [51, 54], [49, 59], [50, 48], [57, 43], [54, 51], [50, 44], [40, 41], [45, 41], [47, 52], [46, 60], [52, 55], [47, 47], [44, 38], [56, 52], [46, 41], [44, 48], [43, 51], [53, 50], [48, 62], [56, 52]], Rewards:[15, 14, 12, 14, 14, 16, 13, 14, 15, 13, 11, 1, 4, 12, 11, 16, 10, 1, 15, 4, 7, 8, 13, 11, 15]
Generation:51, Observation:[[55, 52], [50, 54], [44, 51], [53, 46], [55, 45], [51, 54], [47, 59], [50, 48], [57, 44], [54, 49], [50, 44], [40, 38], [45, 41], [47, 52], [46, 60], [54, 55], [44, 47], [44, 38], [56, 52], [51, 41], [44, 45], [43, 51], [53, 52], [48, 62], [56, 52]], Rewards:[14, 15, 6, 13, 14, 17, 11, 12, 15, 15, 8, 0, 6, 12, 12, 16, 7, 1, 15, 11, 5, 7, 13, 10, 15]
Generation:52, Observation:[[55, 52], [52, 54], [44, 51], [53, 46], [55, 46], [51, 54], [47, 59], [50, 48], [57, 42], [54, 49], [50, 44], [40, 34], [45, 41], [46, 52], [46, 60], [54, 55], [44, 47], [44, 38], [56, 52], [49, 41], [44, 45], [43, 52], [50, 52], [47, 62], [53, 52]], Rewards:[13, 15, 6, 13, 15, 18, 12, 12, 16, 15, 11, 0, 6, 11, 12, 16, 6, 2, 14, 9, 5, 7, 11, 10, 13]
Generation:53, Observation:[[55, 55], [51, 54], [45, 51], [53, 46], [55, 46], [51, 54], [47, 59], [50, 48], [57, 41], [54, 50], [52, 44], [40, 34], [45, 41], [45, 52], [46, 60], [54, 55], [44, 47], [44, 38], [53, 52], [47, 41], [44, 45], [43, 52], [50, 52], [48, 62], [52, 52]], Rewards:[18, 15, 10, 13, 16, 15, 10, 12, 15, 15, 13, 0, 5, 9, 11, 18, 6, 2, 12, 8, 4, 8, 11, 12, 14]
