Generation:33, Observation:[[48, 43], [44, 50], [48, 55], [52, 50], [54, 50], [50, 40], [50, 51], [47, 51], [57, 54], [50, 51], [49, 44], [47, 59], [49, 49], [53, 47], [46, 52], [47, 55], [56, 55], [46, 51], [56, 49], [55, 47], [52, 52], [53, 47], [57, 49], [50, 48], [56, 50]], Rewards:[6, 7, 11, 10, 10, 10, 13, 11, 19, 13, 8, 7, 8, 10, 14, 11, 18, 11, 8, 7, 15, 10, 8, 8, 9]
Generation:34, Observation:[[48, 43], [44, 50], [48, 55], [53, 50], [55, 50], [51, 40], [50, 51], [47, 51], [57, 54], [50, 50], [50, 44], [47, 59], [49, 49], [54, 47], [46, 51], [47, 54], [57, 55], [46, 51], [56, 48], [55, 46], [52, 52], [53, 47], [57, 49], [50, 48], [56, 49]], Rewards:[7, 9, 13, 10, 10, 12, 12, 12, 19, 11, 8, 6, 9, 8, 12, 12, 20, 12, 8, 7, 16, 9, 8, 7, 8]
Generation:35, Observation:[[48, 43], [44, 50], [48, 55], [52, 50], [56, 50], [50, 40], [50, 51], [47, 51], [56, 54], [50, 50], [50, 44], [47, 59], [49, 48], [54, 47], [46, 52], [47, 53], [57, 55], [47, 51], [56, 49], [55, 46], [52, 52], [53, 47], [57, 49], [50, 48], [56, 48]], Rewards:[6, 9, 12, 10, 9, 9, 12, 11, 17, 10, 8, 6, 10, 8, 14, 13, 21, 11, 9, 7, 15, 9, 10, 7, 7]
Generation:36, Observation:[[48, 44], [44, 50], [48, 56], [52, 50], [55, 50], [51, 40], [49, 51], [47, 51], [56, 53], [50, 50], [50, 44], [48, 59], [49, 49], [54, 47], [46, 53], [47, 54], [57, 55], [47, 51], [56, 48], [55, 45], [52, 51], [53, 47], [57, 49], [51, 48], [56, 49]], Rewards:[5, 9, 11, 10, 10, 12, 14, 13, 16, 11, 8, 7, 10, 7, 13, 10, 21, 13, 8, 9, 13, 9, 10, 10, 8]
Generation:37, Observation:[[48, 44], [44, 50], [48, 56], [53, 50], [54, 50], [52, 40], [49, 52], [47, 51], [56, 53], [50, 50], [50, 44], [48, 59], [49, 50], [54, 46], [46, 52], [47, 53], [57, 55], [47, 51], [56, 49], [55, 44], [52, 51], [53, 46], [57, 49], [51, 47], [56, 49]], Rewards:[6, 8, 11, 9, 9, 12, 12, 12, 17, 8, 8, 7, 10, 8, 15, 11, 21, 12, 8, 10, 13, 10, 9, 11, 8]
Generation:38, Observation:[[48, 44], [44, 50], [48, 56], [52, 50], [55, 50], [53, 40], [50, 52], [47, 51], [56, 53], [50, 50], [50, 44], [48, 59], [49, 49], [54, 47], [46, 53], [47, 54], [56, 55], [47, 51], [56, 50], [55, 45], [52, 51], [53, 46], [56, 49], [51, 47], [56, 50]], Rewards:[6, 7, 11, 7, 9, 14, 13, 13, 16, 8, 7, 7, 9, 9, 12, 11, 18, 13, 9, 10, 12, 10, 8, 10, 9]
Generation:39, Observation:[[48, 44], [44, 51], [48, 56], [51, 50], [56, 50], [52, 40], [50, 52], [47, 51], [56, 54], [50, 50], [50, 44], [48, 59], [49, 50], [54, 47], [46, 54], [47, 53], [55, 55], [47, 51], [56, 51], [55, 46], [52, 51], [53, 46], [56, 49], [51, 47], [56, 51]], Rewards:[6, 9, 11, 8, 9, 13, 12, 10, 16, 6, 8, 9, 9, 9, 12, 11, 17, 10, 11, 7, 10, 11, 9, 11, 11]
Generation:40, Observation:[[48, 45], [44, 51], [48, 55], [51, 50], [55, 50], [51, 40], [51, 52], [47, 51], [56, 54], [50, 50], [50, 44], [48, 58], [49, 49], [53, 47], [46, 55], [47, 53], [56, 55], [47, 51], [55, 51], [55, 47], [52, 52], [53, 45], [56, 49], [52, 47], [56, 52]], Rewards:[6, 9, 11, 7, 9, 11, 11, 10, 18, 8, 8, 9, 9, 9, 10, 12, 18, 10, 9, 8, 13, 11, 9, 10, 15]
Generation:41, Observation:[[48, 46], [44, 51], [48, 55], [51, 50], [56, 50], [52, 40], [52, 52], [47, 51], [57, 54], [50, 50], [50, 44], [48, 58], [49, 48], [53, 47], [46, 54], [47, 53], [56, 55], [47, 51], [55, 52], [55, 48], [52, 52], [53, 45], [56, 49], [52, 46], [56, 53]], Rewards:[7, 9, 13, 7, 9, 12, 11, 9, 20, 7, 8, 10, 10, 9, 12, 10, 19, 9, 12, 9, 11, 10, 10, 8, 16]
Generation:42, Observation:[[48, 46], [44, 51], [48, 55], [51, 50], [57, 50], [51, 40], [51, 52], [47, 51], [57, 54], [50, 50], [50, 44], [48, 58], [49, 47], [53, 47], [46, 53], [47, 53], [55, 55], [47, 51], [55, 53], [55, 49], [52, 53], [53, 44], [56, 49], [52, 46], [56, 52]], Rewards:[7, 9, 13, 7, 12, 11, 11, 8, 20, 7, 8, 10, 9, 9, 9, 9, 17, 8, 14, 9, 14, 12, 10, 9, 14]
Generation:43, Observation:[[48, 46], [44, 51], [48, 55], [51, 50], [58, 50], [50, 40], [52, 52], [47, 51], [57, 54], [50, 50], [50, 44], [48, 58], [49, 48], [53, 47], [46, 52], [48, 53], [56, 55], [47, 51], [55, 52], [55, 50], [53, 53], [53, 44], [56, 49], [52, 46], [55, 52]], Rewards:[6, 9, 12, 7, 10, 9, 13, 7, 20, 7, 8, 10, 10, 9, 10, 11, 20, 7, 13, 10, 15, 11, 11, 7, 13]
Generation:44, Observation:[[48, 46], [44, 51], [48, 55], [51, 50], [58, 51], [51, 40], [53, 52], [47, 52], [57, 54], [50, 50], [50, 44], [48, 58], [49, 49], [54, 47], [46, 53], [48, 54], [57, 55], [47, 51], [55, 53], [55, 51], [53, 53], [53, 44], [56, 49], [52, 46], [55, 53]], Rewards:[6, 7, 12, 8, 12, 11, 13, 7, 19, 7, 8, 11, 8, 10, 9, 11, 20, 7, 14, 9, 12, 11, 11, 9, 14]
Generation:45, Observation:[[47, 46], [44, 51], [48, 55], [52, 50], [57, 51], [51, 41], [54, 52], [47, 52], [57, 54], [50, 51], [50, 44], [48, 58], [49, 48], [54, 47], [45, 53], [48, 55], [57, 55], [47, 51], [55, 54], [55, 52], [53, 53], [53, 44], [56, 49], [52, 46], [55, 52]], Rewards:[4, 6, 13, 8, 10, 11, 11, 6, 18, 8, 8, 13, 10, 10, 12, 13, 19, 4, 15, 12, 14, 10, 13, 7, 12]
Generation:46, Observation:[[47, 46], [44, 51], [49, 55], [52, 50], [57, 51], [52, 41], [54, 52], [47, 52], [56, 54], [50, 51], [50, 44], [48, 58], [49, 47], [54, 47], [45, 54], [48, 55], [57, 55], [47, 51], [55, 55], [55, 51], [53, 53], [53, 44], [56, 49], [52, 46], [55, 51]], Rewards:[5, 6, 13, 7, 11, 10, 13, 8, 16, 8, 8, 13, 8, 10, 11, 12, 19, 5, 16, 8, 14, 10, 13, 7, 8]
Generation:47, Observation:[[47, 46], [45, 51], [49, 56], [52, 50], [58, 51], [52, 42], [54, 52], [47, 52], [56, 54], [51, 51], [50, 44], [48, 58], [49, 48], [54, 47], [45, 53], [48, 56], [57, 54], [47, 51], [55, 56], [55, 52], [53, 53], [53, 44], [56, 49], [52, 46], [55, 52]], Rewards:[5, 6, 14, 7, 12, 9, 11, 6, 18, 8, 9, 13, 9, 11, 11, 13, 18, 4, 16, 12, 14, 10, 13, 6, 12]
